time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;0
189;120;-120;0;0
252;120;-120;0;0
315;120;-120;0;0
378;120;-120;0;0
441;120;-120;0;0
504;120;-120;0;0
567;120;-120;0;0
630;120;-120;0;0
693;120;-120;0;0
756;120;-120;0;0
819;120;-120;0;0
882;120;-120;0;0
945;120;-120;0;0
1008;120;-120;0;0
1071;120;-120;0;0
1134;120;-120;0;0
1197;120;-120;0;42
1260;120;-120;0;42
1323;120;-120;0;42
1386;120;-120;0;42
1449;120;-120;0;42
1512;120;-119;0;148
1575;120;-115;0;148
1638;120;-113;0;148
1701;120;-111;0;148
1764;120;-109;0;148
1827;120;-104;0;214
1890;120;-100;0;214
1953;120;-97;0;214
2016;120;-94;0;214
2079;120;-91;0;214
2142;120;-85;0;132
2205;120;-84;0;132
2268;120;-82;0;132
2331;120;-80;0;132
2394;120;-77;0;132
2457;120;-76;0;89
2520;120;-76;0;89
2583;120;-76;0;89
2646;120;-76;0;89
2709;120;-76;0;89
2772;120;-75;0;147
2835;120;-73;0;147
2898;120;-69;0;147
2961;120;-67;0;147
3024;120;-65;0;147
3087;120;-62;0;298
3150;120;-55;0;298
3213;120;-51;0;298
3276;120;-47;0;298
3339;120;-44;0;298
3402;120;-35;0;243
3465;120;-30;0;243
3528;120;-26;0;243
3591;120;-21;0;243
3654;120;-13;0;106
3717;120;-13;0;106
3780;120;-13;0;106
3843;120;-13;0;106
3906;120;-13;0;106
3969;120;-13;0;155
4032;120;-11;0;155
4095;120;-9;0;155
4158;120;-4;0;155
4221;120;-2;0;155
4284;120;0;0;155
4347;120;3;0;347
4410;120;10;0;347
4473;120;14;0;347
4536;120;17;0;347
4599;120;21;0;347
4662;120;30;0;253
4725;120;35;0;253
4788;120;40;0;253
4851;120;49;0;253
4914;120;51;0;92
4977;120;51;0;92
5040;120;51;0;92
5103;120;51;0;92
5166;120;51;0;92
5229;120;51;0;104
5292;120;51;0;104
5355;120;51;0;104
5418;120;51;0;104
5481;120;51;0;104
5544;120;52;0;326
5607;120;56;0;326
5670;120;63;0;326
5733;120;67;0;326
5796;120;71;0;326
5859;120;79;0;251
5922;120;84;0;251
5985;120;89;0;251
6048;120;93;0;251
6111;120;98;0;251
6174;120;103;0;0
6237;120;103;0;0
6300;120;103;0;0
6363;120;103;0;0
6426;120;103;0;-43
6489;120;103;0;-43
6552;120;103;0;-43
6615;120;103;0;-43
6678;120;103;0;-43
6741;120;103;0;-43
6804;120;103;0;0
6867;120;103;0;0
6930;120;103;0;0
6993;120;103;0;0
7056;120;103;0;0
7119;120;103;0;103
7182;120;103;0;103
7245;120;103;0;103
7308;120;103;0;103
7371;120;103;0;103
7434;120;105;0;124
7497;120;107;0;124
7560;120;109;0;124
7623;120;110;0;124
7686;120;113;0;0
7749;120;113;0;0
7812;120;113;0;0
7875;120;113;0;0
7938;120;113;0;0
8001;120;113;0;-48
8064;120;113;0;-48
8127;120;113;0;-48
8190;120;113;0;-48
8253;120;113;0;-48
8316;120;113;0;0
8379;120;113;0;0
8442;120;113;0;0
8505;120;113;0;0
8568;120;113;0;0
8631;120;113;0;0
8694;120;113;0;0
8757;120;113;0;0
8820;120;113;-54;0
8883;120;113;-54;0
8946;120;113;-54;-49
9009;120;113;-54;-49
9072;120;113;-54;-49
9135;119;113;-116;-49
9198;115;113;-116;-49
9261;114;113;-116;-101
9324;112;113;-116;-101
9387;111;113;-116;-101
9450;106;113;-164;-101
9513;104;113;-164;-101
9576;102;112;-164;-127
9639;99;111;-164;-127
9702;94;107;-140;-127
9765;92;106;-140;-127
9828;90;104;-140;-127
9891;88;102;-140;-124
9954;84;99;-140;-124
10017;82;97;-36;-124
10080;82;95;-36;-124
10143;82;94;-36;-124
10206;82;92;-36;-53
10269;82;92;-36;-53
10332;82;92;0;-53
10395;82;92;0;-53
10458;82;92;0;-109
10521;82;92;0;-109
10584;82;92;0;-109
10647;82;92;-54;-109
10710;82;92;-54;-109
10773;82;92;-54;-181
10836;82;90;-54;-181
10899;82;85;-54;-181
10962;82;82;-84;-181
11025;82;80;-84;-181
11088;82;77;-84;-181
11151;82;75;-84;-137
11214;82;71;-84;-137
11277;82;69;-109;-137
11340;82;67;-109;-137
11403;82;65;-109;-137
11466;82;65;-109;-60
11529;82;65;-109;-60
11592;81;65;-199;-60
11655;78;65;-199;-60
11718;72;65;-199;-59
11781;69;65;-199;-59
11844;66;65;-199;-59
11907;63;65;-245;-59
11970;55;65;-245;-59
12033;52;65;-245;-73
12096;48;65;-245;-73
12159;44;65;-245;-73
12222;38;65;-195;-73
12285;35;65;-195;-73
12348;32;64;-195;-193
12411;25;58;-195;-193
12474;23;55;-70;-193
12537;23;52;-70;-193
12600;23;49;-70;-193
12663;23;46;-70;-151
12726;23;42;-70;-151
12789;23;40;-74;-151
12852;23;38;-74;-151
12915;23;36;-74;-151
12978;23;34;-74;-87
13041;23;34;-74;-87
13104;23;34;-74;-87
13167;20;34;-131;-87
13230;18;34;-131;-87
13293;16;34;-131;-86
13356;14;34;-131;-86
13419;13;34;-131;-86
13482;7;34;-194;-86
13545;4;34;-194;-86
13608;1;33;-194;-134
13671;0;31;-194;-134
13734;-6;28;-160;-134
13797;-8;26;-160;-134
13860;-11;24;-160;-134
13923;-16;20;-160;-173
13986;-18;17;-160;-173
14049;-19;14;-77;-173
14112;-19;12;-77;-173
14175;-19;9;-77;-173
14238;-19;8;-77;-109
14301;-19;8;-77;-109
14364;-19;8;-67;-109
14427;-19;8;-67;-109
14490;-19;8;-67;-133
14553;-19;6;-67;-133
14616;-19;4;-67;-133
14679;-21;1;-129;-133
14742;-23;0;-129;-133
14805;-25;-2;-129;-197
14868;-28;-8;-129;-197
14931;-30;-11;-163;-197
14994;-32;-14;-163;-197
15057;-35;-17;-163;-197
15120;-37;-20;-163;-141
15183;-42;-24;-163;-141
15246;-44;-26;-163;-141
15309;-46;-28;-138;-141
15372;-50;-32;-138;-141
15435;-52;-34;-138;-113
15498;-53;-35;-138;-113
15561;-55;-37;-138;-113
15624;-59;-39;-140;-113
15687;-61;-41;-140;-113
15750;-63;-43;-140;-133
15813;-68;-46;-140;-133
15876;-68;-46;-140;-133
15939;-72;-50;-157;-133
16002;-74;-51;-157;-133
16065;-76;-53;-157;-172
16128;-78;-56;-157;-172
16191;-82;-61;-128;-172
16254;-83;-64;-128;-172
16317;-85;-66;-128;-172
16380;-87;-69;-128;-180
16443;-90;-74;-128;-180
16506;-92;-76;-93;-180
16569;-92;-79;-93;-180
16632;-92;-84;-93;-157
16695;-92;-86;-93;-157
16758;-92;-88;-93;-157
16821;-92;-90;-89;-157
16884;-92;-94;-89;-157
16947;-92;-96;-89;-135
17010;-92;-98;-89;-135
17073;-92;-100;-89;-135
17136;-92;-102;-122;-135
17199;-95;-105;-122;-135
17262;-97;-107;-122;-135
17325;-98;-109;-122;-104
17388;-102;-109;-122;-104
17451;-104;-109;-122;-104
17514;-107;-109;-240;-104
17577;-111;-109;-240;-104
17640;-115;-109;-240;-104
17703;-122;-109;-240;-98
17766;-126;-109;-240;-98
17829;-129;-109;-155;-98
17892;-131;-109;-155;-98
17955;-136;-109;-155;-66
18018;-138;-109;-155;-66
18081;-141;-109;0;-66
18144;-141;-109;0;-66
18207;-141;-109;0;-66
18270;-141;-109;0;-107
18333;-141;-109;0;-107
18396;-141;-109;0;-107
18459;-141;-109;0;-107
18522;-141;-109;0;-107
18585;-141;-110;0;-122
18648;-141;-113;0;-122
18711;-141;-115;0;-122
18774;-141;-117;0;-122
18837;-141;-118;0;-122
18900;-141;-119;0;-96
18963;-141;-119;0;-96
19026;-141;-119;0;-96
19089;-141;-119;0;-96
19152;-141;-119;0;-39
19215;-141;-119;0;-39
19278;-141;-119;0;-39
19341;-141;-119;0;-39
19404;-141;-119;0;-39
19467;-141;-119;0;0
19530;-141;-119;0;0
19593;-141;-119;0;0
19656;-141;-119;0;0
19719;-141;-119;0;0
19782;-141;-119;0;0
19845;-141;-119;0;0
19908;-141;-119;0;0
19971;-141;-119;0;0
20034;-141;-119;0;0
20097;-141;-119;0;0
20160;-141;-119;0;0
20223;-141;-119;0;0
20286;-141;-119;0;0
20349;-141;-119;0;0
20412;-141;-119;0;0
20475;-141;-119;0;0
20538;-141;-119;0;0
20601;-141;-119;0;0
20664;-141;-119;0;0
20727;-141;-119;0;-28
20790;-141;-119;0;-28
20853;-141;-119;0;-28
20916;-141;-119;0;-28
20979;-141;-119;0;-28
21042;-141;-119;0;0
21105;-141;-119;0;0
21168;-141;-119;0;0
21231;-141;-119;0;0
21294;-141;-119;102;0
21357;-141;-119;102;0
21420;-141;-119;102;-45
21483;-141;-119;102;-45
21546;-141;-119;102;-45
21609;-141;-119;102;-45
21672;-141;-119;133;-45
21735;-138;-119;133;-43
21798;-136;-119;133;-43
21861;-135;-119;133;-43
21924;-133;-119;133;-43
21987;-131;-119;99;-43
22050;-131;-119;99;0
22113;-131;-119;99;0
22176;-131;-119;99;0
22239;-131;-119;99;0
22302;-131;-119;96;0
22365;-131;-119;96;0
22428;-131;-119;96;0
22491;-131;-119;96;0
22554;-131;-119;96;0
22617;-129;-119;194;0
22680;-126;-119;194;-33
22743;-119;-119;194;-33
22806;-116;-119;194;-33
22869;-110;-119;180;-33
22932;-110;-119;180;-33
22995;-105;-119;180;0
23058;-102;-119;180;0
23121;-100;-119;180;0
23184;-97;-119;180;0
23247;-93;-119;154;0
23310;-90;-119;154;0
23373;-88;-119;154;0
23436;-84;-119;154;0
23499;-81;-119;170;0
23562;-79;-119;170;0
23625;-77;-119;170;0
23688;-72;-119;170;0
23751;-69;-119;170;0
23814;-67;-119;203;0
23877;-63;-119;203;0
23940;-60;-119;203;0
24003;-54;-119;203;0
24066;-50;-119;203;0
24129;-47;-119;203;0
24192;-40;-119;241;0
24255;-36;-119;241;0
24318;-32;-119;241;0
24381;-29;-119;241;0
24444;-22;-119;206;0
24507;-18;-119;206;0
24570;-15;-119;206;0
24633;-12;-119;206;0
24696;-5;-119;206;0
24759;-2;-119;197;0
24822;0;-119;197;0
24885;3;-119;197;0
24948;10;-119;197;0
25011;13;-119;197;0
25074;16;-119;195;0
25137;19;-119;195;0
25200;26;-119;195;0
25263;29;-119;195;0
25326;32;-119;195;0
25389;36;-119;212;0
25452;39;-119;212;0
25515;45;-119;212;0
25578;49;-119;212;0
25641;55;-119;179;0
25704;58;-119;179;0
25767;60;-119;179;0
25830;63;-119;179;0
25893;65;-119;179;0
25956;70;-119;197;0
26019;73;-119;197;0
26082;77;-119;197;0
26145;80;-119;197;0
26208;83;-119;197;0
26271;90;-119;197;0
26334;93;-119;226;0
26397;96;-119;226;0
26460;103;-119;226;0
26523;106;-119;226;0
26586;109;-119;226;0
26649;111;-119;128;0
26712;115;-119;128;0
26775;116;-119;128;0
26838;118;-119;128;0
26901;121;-119;0;0
26964;121;-119;0;0
27027;121;-119;0;0
27090;121;-119;0;0
27153;121;-119;0;59
27216;121;-119;0;59
27279;121;-119;0;59
27342;121;-119;0;59
27405;121;-119;0;59
27468;121;-119;0;0
27531;121;-119;0;0
27594;121;-119;0;0
27657;121;-119;0;0
27720;121;-119;0;0
27783;121;-119;0;0
27846;121;-119;0;0
27909;121;-119;0;0
27972;121;-119;0;0
28035;121;-119;0;0
28098;121;-119;0;0
28161;121;-119;0;0
28224;121;-119;-51;0
28287;121;-119;-51;0
28350;121;-119;-51;0
28413;121;-119;-51;81
28476;121;-119;-51;81
28539;121;-119;-85;81
28602;121;-119;-85;81
28665;121;-118;-85;145
28728;121;-116;-85;145
28791;121;-114;-85;145
28854;119;-112;-143;145
28917;117;-110;-143;145
28980;113;-105;-143;173
29043;111;-103;-143;173
29106;109;-100;-143;173
29169;106;-98;-220;173
29232;100;-93;-220;173
29295;96;-92;-220;57
29358;89;-92;-220;57
29421;89;-92;-220;57
29484;85;-92;-303;57
29547;78;-92;-303;57
29610;74;-92;-303;96
29673;70;-92;-303;96
29736;66;-92;-303;96
29799;58;-92;-340;96
29862;55;-92;-340;96
29925;51;-92;-340;115
29988;47;-91;-340;115
30051;39;-88;-146;115
30114;37;-86;-146;115
30177;35;-85;-146;115
30240;33;-83;-146;90
30303;29;-83;-146;90
30366;27;-83;-68;90
30429;27;-83;-68;90
30492;27;-83;-68;90
30555;27;-83;-68;110
30618;27;-83;-68;110
30681;27;-83;-68;110
30744;24;-83;-111;110
30807;22;-83;-111;110
30870;21;-83;-111;103
30933;19;-83;-111;103
30996;18;-83;-111;103
31059;18;-83;-81;103
31122;18;-83;-81;103
31185;18;-83;-81;112
31248;18;-80;-81;112
31311;18;-78;-75;112
31374;18;-77;-75;112
31437;18;-74;-75;101
31500;18;-74;-75;101
31563;18;-74;-75;101
31626;18;-74;-44;101
31689;18;-74;-44;101
31752;18;-74;-44;101
31815;18;-74;-44;96
31878;18;-74;-44;96
31941;18;-74;-52;96
32004;18;-74;-52;96
32067;18;-74;-52;109
32130;18;-74;-52;109
32193;18;-74;-52;109
32256;18;-74;-26;109
32319;18;-74;-26;109
32382;18;-74;-26;109
32445;18;-74;-26;0
32508;18;-74;0;0
32571;18;-74;0;0
32634;18;-74;0;0
32697;18;-74;0;0
32760;18;-74;0;0
32823;18;-74;0;0
32886;18;-74;0;0
32949;18;-74;0;0
33012;18;-74;0;0
33075;18;-74;0;0
33138;18;-74;0;0
33201;18;-74;0;0
33264;18;-74;0;0
33327;18;-74;0;0
33390;18;-74;0;0
33453;18;-74;0;0
33516;18;-74;0;0
33579;18;-74;0;0
33642;18;-74;0;0
33705;18;-74;0;70
33768;18;-74;-31;70
33831;18;-74;-31;70
33894;18;-74;-31;70
33957;18;-74;-31;70
34020;18;-74;-31;106
34083;18;-74;0;106
34146;18;-74;0;106
34209;18;-74;0;106
34272;18;-74;0;106
34335;18;-74;0;38
34398;18;-74;0;38
34461;18;-74;0;38
34524;18;-74;0;38
34587;18;-74;0;130
34650;18;-73;0;130
34713;18;-71;-47;130
34776;18;-67;-47;130
34839;18;-66;-47;130
34902;18;-64;-47;130
34965;18;-58;-47;205
35028;18;-58;-47;205
35091;18;-51;-68;205
35154;18;-48;-68;205
35217;18;-45;-68;205
35280;18;-39;-68;180
35343;17;-37;-131;180
35406;15;-34;-131;180
35469;13;-32;-131;180
35532;11;-29;-131;180
35595;8;-24;-131;182
35658;1;-19;-235;182
35721;1;-19;-235;182
35784;-1;-17;-235;182
35847;-8;-12;-235;196
35910;-12;-9;-235;196
35973;-16;-5;-255;196
36036;-20;-2;-255;196
36099;-30;3;-255;196
36162;-34;5;-255;141
36225;-39;7;-255;141
36288;-43;9;-181;141
36351;-48;13;-181;141
36414;-50;15;-181;141
36477;-55;19;-181;128
36540;-58;21;-123;128
36603;-59;22;-123;128
36666;-61;24;-123;128
36729;-63;26;-123;128
36792;-66;29;-123;133
36855;-68;31;-73;133
36918;-68;32;-73;133
36981;-68;34;-73;133
37044;-68;38;-73;169
37107;-68;40;-73;169
37170;-68;43;-73;169
37233;-68;45;-43;169
37296;-68;50;-43;169
37359;-68;53;-43;169
37422;-68;55;-43;129
37485;-68;56;-43;129
37548;-68;58;-45;129
37611;-68;61;-45;129
37674;-68;63;-45;129
37737;-68;64;-45;79
37800;-68;64;-104;79
37863;-68;64;-104;79
37926;-68;64;-104;79
37989;-68;64;-104;79
38052;-68;64;-104;97
38115;-69;64;-198;97
38178;-72;64;-198;97
38241;-78;64;-198;97
38304;-81;65;-198;160
38367;-84;67;-198;160
38430;-88;70;-265;160
38493;-93;72;-265;160
38556;-102;77;-265;160
38619;-107;78;-265;92
38682;-111;78;-265;92
38745;-115;78;-219;92
38808;-123;78;-219;92
38871;-126;78;-219;92
38934;-130;78;-219;119
38997;-134;80;-219;119
39060;-137;82;-173;119
39123;-142;85;-173;119
39186;-144;86;-173;119
39249;-147;88;-173;103
39312;-149;88;-173;103
39375;-152;88;-90;103
39438;-152;88;-90;103
39501;-152;88;-90;103
39564;-152;88;-90;103
39627;-152;88;-90;77
39690;-152;88;-69;77
39753;-152;88;-69;77
39816;-152;88;-69;77
39879;-152;88;-69;76
39942;-152;88;-69;76
40005;-152;88;-35;76
40068;-152;88;-35;76
40131;-152;88;-35;76
40194;-152;88;-35;76
40257;-152;88;-35;56
40320;-152;88;0;56
40383;-152;88;0;56
40446;-152;88;0;56
40509;-152;88;0;56
40572;-152;88;0;41
40635;-152;88;0;41
40698;-152;88;0;41
40761;-152;88;0;41
40824;-152;88;0;41
40887;-152;88;0;26
40950;-152;88;0;26
41013;-152;88;0;26
41076;-152;88;0;26
41139;-152;88;0;26
41202;-152;88;0;31
41265;-152;88;0;31
41328;-152;88;0;31
41391;-152;88;0;31
41454;-152;88;0;31
41517;-152;88;0;29
41580;-152;88;0;29
41643;-152;88;0;29
41706;-152;88;0;29
41769;-152;88;0;29
41832;-152;88;0;29
41895;-152;88;0;0
41958;-152;88;0;0
42021;-152;88;0;0
42084;-152;88;0;0
42147;-152;88;0;30
42210;-152;88;0;30
42273;-152;88;0;30
42336;-152;88;0;30
42399;-152;88;0;30
42462;-152;88;0;43
42525;-151;88;177;43
42588;-146;88;177;43
42651;-143;88;177;43
42714;-141;88;177;43
42777;-138;89;177;159
42840;-137;93;90;159
42903;-137;96;90;159
42966;-137;98;90;159
43029;-137;101;90;159
43092;-137;106;39;190
43155;-137;109;39;190
43218;-137;112;39;190
43281;-137;115;39;190
43344;-137;121;39;85
43407;-137;121;250;85
43470;-132;121;250;85
43533;-123;121;250;85
43596;-118;121;250;85
43659;-113;121;250;0
43722;-109;121;250;0
43785;-105;121;390;0
43848;-101;121;390;0
43911;-94;121;390;0
43974;-90;121;390;0
44037;-86;121;0;78
44100;-86;121;0;78
44163;-86;121;0;78
44226;-86;121;0;78
44289;-86;121;0;78
44352;-86;121;0;69
44415;-86;121;0;69
